SpPair,program,ploidy,category,n
BraAar,BR,full,M:1,6899
BraAar,BR,full,M:M,948
CsaAar,BR,full,one:one,264
CsaAar,BR,full,1:M,35
CsaAar,BR,full,M:1,14661
CsaAar,BR,full,M:M,1396
AthChi,OFb,full,one:one,15229
AthChi,OFb,full,1:M,1366
AthChi,OFb,full,M:1,877
AthChi,OFb,full,M:M,1991
AthCru,OFb,full,one:one,15992
AthCru,OFb,full,1:M,870
AthCru,OFb,full,M:1,766
AthCru,OFb,full,M:M,2140
AthTar,OFb,full,one:one,12276
AthTar,OFb,full,1:M,1603
AthTar,OFb,full,M:1,1111
AthTar,OFb,full,M:M,1401
AthSal,OFb,full,one:one,9074
AthSal,OFb,full,1:M,6675
AthSal,OFb,full,M:1,731
AthSal,OFb,full,M:M,1930
AthBra,OFb,full,one:one,8832
AthBra,OFb,full,1:M,7430
AthBra,OFb,full,M:1,620
AthBra,OFb,full,M:M,2153
AthCsa,OFb,full,one:one,1742
AthCsa,OFb,full,1:M,15288
AthCsa,OFb,full,M:1,144
AthCsa,OFb,full,M:M,2790
AthAar,OFb,full,one:one,13676
AthAar,OFb,full,1:M,1089
AthAar,OFb,full,M:1,1896
AthAar,OFb,full,M:M,411
ChiCru,OFb,full,one:one,15020
ChiCru,OFb,full,1:M,955
ChiCru,OFb,full,M:1,1343
ChiCru,OFb,full,M:M,1938
ChiTar,OFb,full,one:one,11811
ChiTar,OFb,full,1:M,1511
ChiTar,OFb,full,M:1,1467
ChiTar,OFb,full,M:M,1466
ChiSal,OFb,full,one:one,8706
ChiSal,OFb,full,1:M,6467
ChiSal,OFb,full,M:1,1025
ChiSal,OFb,full,M:M,2097
ChiBra,OFb,full,one:one,8458
ChiBra,OFb,full,1:M,7192
ChiBra,OFb,full,M:1,869
ChiBra,OFb,full,M:M,2358
ChiCsa,OFb,full,one:one,1680
ChiCsa,OFb,full,1:M,14535
ChiCsa,OFb,full,M:1,263
ChiCsa,OFb,full,M:M,3151
ChiAar,OFb,full,one:one,13188
ChiAar,OFb,full,1:M,1060
ChiAar,OFb,full,M:1,2301
ChiAar,OFb,full,M:M,430
