,method,SpeciesPair,numberOfExactOG,totalGenes,proportionOfExactOG,meanJI,sdJI,seJI
24,OFb,SalAar,5156,38240,0.1348326359832636,0.2223102744420383,0.35416552544057117,0.001811120485049229
25,OFb,BraCsa,507,38718,0.013094684642801798,0.1369657754150569,0.1848883981527218,0.000939622054958566
26,OFb,BraAar,5183,38786,0.13363069148661888,0.22119768052612193,0.35226208883804094,0.001788662531081211
27,OFb,CsaAar,563,22105,0.025469350825605065,0.2193719028970969,0.22024278880974466,0.0014813457574894592
0,OFd,AthChi,11909,26414,0.4508593927462709,0.5354172660526173,0.44930897733566744,0.0027645726630583013
1,OFd,AthCru,13314,26434,0.5036695165317394,0.5802298629269013,0.44817129736110706,0.0027565291937182907
2,OFd,AthTar,8524,26404,0.3228298742614755,0.41124034444056845,0.4400452223356715,0.002708085975523589
3,OFd,AthSal,6415,26426,0.24275334897449483,0.38832814362937534,0.3957915095225608,0.0024347297263070077
4,OFd,AthBra,6704,26423,0.2537183514362487,0.40718732462977664,0.39490532135742973,0.002429416202050299
5,OFd,AthCsa,840,26392,0.03182782661412549,0.2547301624674366,0.23097816238128843,0.0014217877582689284
6,OFd,AthAar,8746,26402,0.33126278312249074,0.4105777077695249,0.44512568615098086,0.0027394554537893147
7,OFd,ChiCru,11898,28620,0.4157232704402516,0.491631418415951,0.45613354847920023,0.0026962316408432156
8,OFd,ChiTar,8091,28594,0.2829614604462475,0.3651274433688494,0.4317676123877746,0.002553363263271121
9,OFd,ChiSal,6095,28617,0.21298528846489848,0.34637996483531086,0.39104795298408335,0.002311628099981187
10,OFd,ChiBra,6355,28623,0.22202424623554484,0.3638892332099428,0.3907714149801485,0.0023097512572730324
11,OFd,ChiCsa,902,28576,0.03156494960806271,0.2317060946180099,0.23737109790659314,0.0014041940223886258
12,OFd,ChiAar,8277,28598,0.2894258339744038,0.3657787596830048,0.4358676256804608,0.002577429422237305
13,OFd,CruTar,8535,27027,0.3157953157953158,0.40054891949754806,0.4400960203271027,0.002677000920679859
14,OFd,CruSal,6405,27044,0.23683626682443426,0.3787825613645904,0.39574349201667175,0.0024064581755775913
15,OFd,CruBra,6789,27045,0.2510260676650028,0.4023188974256728,0.3955267284921978,0.002405095602420961
16,OFd,CruCsa,980,27022,0.036266745614684334,0.26907636323306394,0.241323493366158,0.0014680500381310559
17,OFd,CruAar,8632,27034,0.31930162018199304,0.3974268175444309,0.4431928977102333,0.00269548945617118
18,OFd,TarSal,5287,25054,0.2110241877544504,0.3561942752364413,0.3930245034008165,0.002483024993551647
19,OFd,TarBra,5112,25042,0.20413704975640923,0.35150903841774633,0.3866907831020872,0.0024435954907583404
20,OFd,TarCsa,614,25004,0.02455607102863542,0.20310300521211716,0.22567522179322222,0.0014271812547267382
21,OFd,TarAar,6671,25020,0.2666266986410871,0.3533614524864975,0.42570500623377683,0.002691318549869283
22,OFd,SalBra,7208,37979,0.18978909397298507,0.2997664169243915,0.3786774012445774,0.0019431110669716788
23,OFd,SalCsa,351,37825,0.00927957699933906,0.12720453835333653,0.17568212103015596,0.0009033126616497439
24,OFd,SalAar,5170,37897,0.13642240810618256,0.22386257855098005,0.35563715423602993,0.0018268576601054118
25,OFd,BraCsa,445,38436,0.011577687584556145,0.13665287530625306,0.18355309230152977,0.0009362516866015904
26,OFd,BraAar,5200,38469,0.13517377628740024,0.22208190470807218,0.35366765649054616,0.0018031833814661762
27,OFd,CsaAar,509,22234,0.02289286678060628,0.21463711571497213,0.21745377083606807,0.001458337832326084
0,OFm,AthChi,11881,26449,0.44920412870051796,0.5339236634901493,0.44905762759953033,0.0027611973589466254
1,OFm,AthCru,13232,26462,0.5000377900385459,0.5778664978658277,0.44772157004041385,0.0027523058010351076
2,OFm,AthTar,8531,26441,0.322642865247154,0.41093642135843783,0.43991826207338414,0.0027054097627262036
3,OFm,AthSal,6397,26465,0.2417154732665785,0.3879187130800871,0.39503365563670273,0.0024282765651242075
4,OFm,AthBra,6662,26463,0.2517477232362166,0.4063341598697258,0.3936255459460996,0.002419712330544264
5,OFm,AthCsa,911,26414,0.03448928598470508,0.2572254190511258,0.2335105783167625,0.0014367773490249602
6,OFm,AthAar,8782,26441,0.3321356983472637,0.4111371593342446,0.44542031971106566,0.002739246322222301
7,OFm,ChiCru,11828,28619,0.41329186903805165,0.4903829873732742,0.4552723164131667,0.002691187864836116
8,OFm,ChiTar,8093,28604,0.28293245699902114,0.3652557622726731,0.43153716947561344,0.002551554352273821
9,OFm,ChiSal,6081,28628,0.21241441944949002,0.34681004898970946,0.3904035238962256,0.0023073752231136152
10,OFm,ChiBra,6290,28627,0.21972263946623816,0.3632897618394379,0.3891665206982646,0.0023001044204259487
11,OFm,ChiCsa,939,28573,0.03286319252441116,0.23304723147482576,0.23796790086086905,0.0014077983733866823
12,OFm,ChiAar,8312,28606,0.2905684122212123,0.36628835076448024,0.43621395807782026,0.002579116684621102
13,OFm,CruTar,8515,27073,0.3145200014774868,0.39955904970467115,0.4395034302225247,0.0026711241714456875
14,OFm,CruSal,6377,27090,0.23540051679586563,0.37810093865674127,0.3947454738206141,0.0023983505244571613
15,OFm,CruBra,6736,27085,0.24869854162820748,0.40123748486575955,0.3940299642972929,0.002394224272620809
16,OFm,CruCsa,1039,27066,0.03838764501588709,0.2700335272915532,0.24268367067056795,0.0014751239574356159
17,OFm,CruAar,8644,27084,0.31915522079456504,0.3973932319674569,0.44318265992984945,0.0026929380154703314
